[23:28:22.918] [INFO] [src/statusbar.c:66] netlink monitor started (link + addr events)
[23:28:22.926] [INFO] [src/draw.c:796] net icon paths: wifi100=/nix/store/zkhbdqqkxvv03xrgx21hg1r1z72v945p-nixlytile-git/bin/../share/nixlytile/images/svg/wifi_100.svg wifi75=/nix/store/zkhbdqqkxvv03xrgx21hg1r1z72v945p-nixlytile-git/bin/../share/nixlytile/images/svg/wifi_75.svg wifi50=/nix/store/zkhbdqqkxvv03xrgx21hg1r1z72v945p-nixlytile-git/bin/../share/nixlytile/images/svg/wifi_50.svg wifi25=/nix/store/zkhbdqqkxvv03xrgx21hg1r1z72v945p-nixlytile-git/bin/../share/nixlytile/images/svg/wifi_25.svg eth=/nix/store/zkhbdqqkxvv03xrgx21hg1r1z72v945p-nixlytile-git/bin/../share/nixlytile/images/svg/ethernet.svg noconn=/nix/store/zkhbdqqkxvv03xrgx21hg1r1z72v945p-nixlytile-git/bin/../share/nixlytile/images/svg/no_connection.svg
[23:28:22.931] [INFO] [src/gaming.c:3988] GPU 0: /dev/dri/card1 [/dev/dri/renderD128] driver=nvidia discrete=1 pci=0000:01:00.0
[23:28:22.931] [INFO] [src/gaming.c:4057] Selected discrete GPU: card1 (0000:01:00.0) driver=nvidia
[23:28:22.932] [INFO] [src/gaming.c:4095] dGPU: holding /dev/dri/renderD128 open (fd=18) to prevent D3cold
[23:28:22.932] [INFO] [src/gaming.c:4141] NVIDIA: driver version 595.58.03 (major=595)
[23:28:22.932] [INFO] [src/gaming.c:4260] dGPU: D3cold prevention active — power/control=on + render node held open
[23:28:22.932] [INFO] [libseat] [libseat/backend/seatd.c:64] Could not connect to socket /run/seatd.sock: No such file or directory
[23:28:22.932] [INFO] [libseat] [libseat/libseat.c:76] Backend 'seatd' failed to open seat, skipping
[23:28:22.934] [INFO] [libseat] [libseat/libseat.c:73] Seat opened with backend 'logind'
[23:28:22.934] [INFO] [backend/session/session.c:117] Successfully loaded libseat session
[23:28:22.938] [INFO] [backend/backend.c:248] Found 1 GPUs
[23:28:22.938] [INFO] [backend/drm/backend.c:263] Initializing DRM backend for /dev/dri/card1 (nvidia-drm)
[23:28:22.938] [DEBUG] [backend/drm/drm.c:112] Using atomic DRM interface
[23:28:22.938] [DEBUG] [backend/drm/drm.c:140] ADDFB2 modifiers supported
[23:28:22.938] [INFO] [backend/drm/drm.c:315] Found 4 DRM CRTCs
[23:28:22.938] [INFO] [backend/drm/drm.c:273] Found 12 DRM planes
[23:28:22.971] [INFO] [render/egl.c:205] Supported EGL client extensions: EGL_EXT_platform_base EGL_EXT_device_base EGL_EXT_device_enumeration EGL_EXT_device_query EGL_KHR_client_get_all_proc_addresses EGL_EXT_client_extensions EGL_KHR_debug EGL_KHR_platform_x11 EGL_EXT_platform_x11 EGL_EXT_platform_device EGL_MESA_platform_surfaceless EGL_EXT_explicit_device EGL_KHR_platform_wayland EGL_EXT_platform_wayland EGL_KHR_platform_gbm EGL_MESA_platform_gbm EGL_EXT_platform_xcb
[23:28:22.977] [DEBUG] [render/egl.c:523] Using EGL device /dev/dri/card1
[23:28:22.980] [INFO] [render/egl.c:369] Using EGL 1.5
[23:28:22.980] [INFO] [render/egl.c:370] Supported EGL display extensions: EGL_ANDROID_native_fence_sync EGL_EXT_buffer_age EGL_EXT_client_sync EGL_EXT_create_context_robustness EGL_EXT_image_dma_buf_import EGL_EXT_image_dma_buf_import_modifiers EGL_MESA_image_dma_buf_export EGL_EXT_output_base EGL_EXT_output_drm EGL_EXT_protected_content EGL_EXT_stream_consumer_egloutput EGL_EXT_stream_acquire_mode EGL_EXT_sync_reuse EGL_IMG_context_priority EGL_KHR_config_attribs EGL_KHR_create_context_no_error EGL_KHR_context_flush_control EGL_KHR_create_context EGL_KHR_fence_sync EGL_KHR_get_all_proc_addresses EGL_KHR_partial_update EGL_KHR_swap_buffers_with_damage EGL_KHR_no_config_context EGL_KHR_gl_colorspace EGL_KHR_gl_renderbuffer_image EGL_KHR_gl_texture_2D_image EGL_KHR_gl_texture_3D_image EGL_KHR_gl_texture_cubemap_image EGL_KHR_image EGL_KHR_image_base EGL_KHR_reusable_sync EGL_KHR_stream EGL_KHR_stream_attrib EGL_KHR_stream_consumer_gltexture EGL_KHR_stream_cross_process_fd EGL_KHR_stream_fifo EGL_KHR_stream_producer_eglsurface EGL_KHR_surfaceless_context EGL_KHR_wait_sync EGL_NV_nvrm_fence_sync EGL_NV_quadruple_buffer EGL_NV_stream_consumer_eglimage EGL_NV_stream_cross_display EGL_NV_stream_cross_object EGL_NV_stream_cross_process EGL_NV_stream_cross_system EGL_NV_stream_dma EGL_NV_stream_flush EGL_NV_stream_metadata EGL_NV_stream_remote EGL_NV_stream_reset EGL_NV_stream_socket EGL_NV_stream_socket_inet EGL_NV_stream_socket_unix EGL_NV_stream_sync EGL_NV_stream_fifo_next EGL_NV_stream_fifo_synchronous EGL_NV_stream_consumer_gltexture_yuv EGL_NV_stream_attrib EGL_NV_stream_origin EGL_NV_system_time EGL_NV_output_drm_flip_event EGL_NV_triple_buffer EGL_NV_robustness_video_memory_purge EGL_WL_bind_wayland_display EGL_WL_wayland_eglstream
[23:28:22.980] [INFO] [render/egl.c:372] Supported EGL device extensions: EGL_NV_device_cuda EGL_EXT_device_drm EGL_EXT_device_drm_render_node EGL_EXT_device_query_name EGL_EXT_device_persistent_id
[23:28:22.980] [INFO] [render/egl.c:374] EGL vendor: NVIDIA
[23:28:22.980] [INFO] [render/egl.c:376] EGL driver name: nvidia
[23:28:22.980] [DEBUG] [render/egl.c:120] Supported DMA-BUF formats:
[23:28:22.981] [DEBUG] [render/egl.c:169]   AB24 (0x34324241)
[23:28:23.451] [INFO] [backend/drm/drm.c:1652]   2560x1440 @ 164.999 Hz 
[23:28:23.451] [INFO] [backend/drm/drm.c:1652]   2560x1440 @ 99.946 Hz 
[23:28:23.451] [INFO] [backend/drm/drm.c:1652]   2560x1440 @ 59.951 Hz 
[23:28:23.451] [INFO] [backend/drm/drm.c:1652]   1920x1080 @ 164.997 Hz 
[23:28:23.451] [INFO] [backend/drm/drm.c:1652]   1920x1080 @ 100.000 Hz 
[23:28:23.451] [INFO] [backend/drm/drm.c:1652]   1920x1080 @ 60.000 Hz 
[23:28:23.451] [INFO] [backend/drm/drm.c:1652]   1920x1080 @ 59.939 Hz 
[23:28:23.451] [INFO] [backend/drm/drm.c:1652]   1920x1080 @ 50.000 Hz 
[23:28:23.451] [INFO] [backend/drm/drm.c:1652]   1680x1050 @ 59.954 Hz 
[23:28:23.451] [INFO] [backend/drm/drm.c:1652]   1600x900 @ 60.000 Hz 
[23:28:23.451] [INFO] [backend/drm/drm.c:1652]   1280x1024 @ 75.025 Hz 
[23:28:23.451] [INFO] [backend/drm/drm.c:1652]   1280x1024 @ 60.020 Hz 
[23:28:23.452] [INFO] [backend/drm/drm.c:1652]   1440x900 @ 59.887 Hz 
[23:28:23.452] [INFO] [backend/drm/drm.c:1652]   1280x800 @ 59.810 Hz 
[23:28:23.452] [INFO] [backend/drm/drm.c:1652]   1152x864 @ 75.000 Hz 
[23:28:23.452] [INFO] [backend/drm/drm.c:1652]   1280x720 @ 60.000 Hz 
[23:28:23.452] [INFO] [backend/drm/drm.c:1652]   1280x720 @ 59.943 Hz 
[23:28:23.452] [INFO] [backend/drm/drm.c:1652]   1280x720 @ 50.000 Hz 
[23:28:23.452] [INFO] [backend/drm/drm.c:1652]   1024x768 @ 75.029 Hz 
[23:28:23.452] [INFO] [backend/drm/drm.c:1652]   1024x768 @ 70.069 Hz 
[23:28:23.452] [INFO] [backend/drm/drm.c:1652]   1024x768 @ 60.004 Hz 
[23:28:23.452] [INFO] [backend/drm/drm.c:1652]   800x600 @ 75.000 Hz 
[23:28:23.452] [INFO] [backend/drm/drm.c:1652]   800x600 @ 72.188 Hz 
[23:28:23.452] [INFO] [backend/drm/drm.c:1652]   800x600 @ 60.317 Hz 
[23:28:23.452] [INFO] [backend/drm/drm.c:1652]   800x600 @ 56.250 Hz 
[23:28:23.452] [INFO] [backend/drm/drm.c:1652]   720x576 @ 50.000 Hz 
[23:28:23.452] [INFO] [backend/drm/drm.c:1652]   720x480 @ 59.940 Hz 
[23:28:23.452] [INFO] [backend/drm/drm.c:1652]   640x480 @ 75.000 Hz 
[23:28:23.452] [INFO] [backend/drm/drm.c:1652]   640x480 @ 72.809 Hz 
[23:28:23.452] [INFO] [backend/drm/drm.c:1652]   640x480 @ 59.940 Hz 
[23:28:23.452] [INFO] [backend/drm/drm.c:1689] Physical size: 800x340
[23:28:23.548] [INFO] [backend/drm/drm.c:1818] Found connector 'HDMI-A-1'
[23:28:23.548] [INFO] [backend/drm/drm.c:1843] 'HDMI-A-1' connected
[23:28:23.548] [DEBUG] [backend/drm/drm.c:1614] Current CRTC: 81
[23:28:23.548] [INFO] [backend/drm/drm.c:1628] Detected modes:
[23:28:23.548] [INFO] [backend/drm/drm.c:1652]   1920x1080 @ 60.000 Hz (preferred)
[23:28:23.548] [INFO] [backend/drm/drm.c:1652]   1920x1080 @ 59.939 Hz 
[23:28:23.548] [INFO] [backend/drm/drm.c:1652]   1920x1080 @ 50.000 Hz 
[23:28:23.548] [INFO] [backend/drm/drm.c:1652]   1680x1050 @ 59.954 Hz 
[23:28:23.548] [INFO] [backend/drm/drm.c:1652]   1600x900 @ 60.000 Hz 
[23:28:23.548] [INFO] [backend/drm/drm.c:1652]   1280x1024 @ 75.025 Hz 
[23:28:23.548] [INFO] [backend/drm/drm.c:1652]   1280x1024 @ 60.020 Hz 
[23:28:23.548] [INFO] [backend/drm/drm.c:1652]   1440x900 @ 59.887 Hz 
[23:28:23.548] [INFO] [backend/drm/drm.c:1652]   1280x800 @ 59.810 Hz 
[23:28:23.548] [INFO] [backend/drm/drm.c:1652]   1152x864 @ 75.000 Hz 
[23:28:23.548] [INFO] [backend/drm/drm.c:1652]   1280x720 @ 60.000 Hz 
[23:28:23.548] [INFO] [backend/drm/drm.c:1652]   1280x720 @ 59.943 Hz 
[23:28:23.548] [INFO] [backend/drm/drm.c:1652]   1280x720 @ 50.000 Hz 
[23:28:23.548] [INFO] [backend/drm/drm.c:1652]   1024x768 @ 75.029 Hz 
[23:28:23.548] [INFO] [backend/drm/drm.c:1652]   1024x768 @ 70.069 Hz 
[23:28:23.548] [INFO] [backend/drm/drm.c:1652]   1024x768 @ 60.004 Hz 
[23:28:23.548] [INFO] [backend/drm/drm.c:1652]   800x600 @ 75.000 Hz 
[23:28:23.548] [INFO] [backend/drm/drm.c:1652]   800x600 @ 72.188 Hz 
[23:28:23.548] [INFO] [backend/drm/drm.c:1652]   800x600 @ 60.317 Hz 
[23:28:23.548] [INFO] [backend/drm/drm.c:1652]   800x600 @ 56.250 Hz 
[23:28:23.549] [INFO] [backend/drm/drm.c:1652]   720x576 @ 50.000 Hz 
[23:28:23.549] [INFO] [backend/drm/drm.c:1652]   720x480 @ 59.940 Hz 
[23:28:23.549] [INFO] [backend/drm/drm.c:1652]   640x480 @ 75.000 Hz 
[23:28:23.549] [INFO] [backend/drm/drm.c:1652]   640x480 @ 72.809 Hz 
[23:28:23.549] [INFO] [backend/drm/drm.c:1652]   640x480 @ 59.940 Hz 
[23:28:23.549] [INFO] [backend/drm/drm.c:1689] Physical size: 600x340
[23:28:23.572] [INFO] [backend/drm/drm.c:1818] Found connector 'DP-2'
[23:28:23.572] [INFO] [backend/drm/drm.c:1843] 'DP-2' connected
[23:28:23.572] [DEBUG] [backend/drm/drm.c:1614] Current CRTC: 100
[23:28:23.572] [INFO] [backend/drm/drm.c:1628] Detected modes:
[23:28:23.572] [INFO] [backend/drm/drm.c:1652]   1920x1200 @ 59.950 Hz (preferred)
[23:28:23.572] [INFO] [backend/drm/drm.c:1652]   1920x1080 @ 60.000 Hz 
[23:28:23.572] [INFO] [backend/drm/drm.c:1652]   1600x1200 @ 60.000 Hz 
[23:28:23.572] [INFO] [backend/drm/drm.c:1652]   1680x1050 @ 59.954 Hz 
[23:28:23.572] [INFO] [backend/drm/drm.c:1652]   1600x900 @ 60.000 Hz 
[23:28:23.572] [INFO] [backend/drm/drm.c:1652]   1280x1024 @ 60.020 Hz 
[23:28:23.572] [INFO] [backend/drm/drm.c:1652]   1440x900 @ 59.887 Hz 
[23:28:23.572] [INFO] [backend/drm/drm.c:1652]   1280x800 @ 59.810 Hz 
[23:28:23.572] [INFO] [backend/drm/drm.c:1652]   1280x720 @ 60.000 Hz 
[23:28:23.572] [INFO] [backend/drm/drm.c:1652]   1024x768 @ 60.004 Hz 
[23:28:23.572] [INFO] [backend/drm/drm.c:1652]   800x600 @ 60.317 Hz 
[23:28:23.572] [INFO] [backend/drm/drm.c:1652]   640x480 @ 59.940 Hz 
[23:28:23.572] [INFO] [backend/drm/drm.c:1689] Physical size: 520x320
[23:28:23.572] [INFO] [backend/drm/drm.c:1818] Found connector 'DP-3'
[23:28:23.572] [INFO] [backend/drm/drm.c:1818] Found connector 'Unknown-2'
[23:28:23.572] [INFO] [backend/drm/drm.c:1877] connector DP-1: Requesting modeset
[23:28:23.573] [INFO] [src/output.c:506] Using runtime config for monitor DP-1
[23:28:23.573] [INFO] [src/output.c:537] Set mode 3440x1440@164 for DP-1
[23:28:23.573] [DEBUG] [types/output/render.c:123] Attaching empty buffer to output for modeset
[23:28:23.573] [DEBUG] [types/output/swapchain.c:27] Choosing primary buffer format XR24 (0x34325258) for output 'DP-1'
[23:28:23.573] [DEBUG] [types/output/swapchain.c:96] Testing swapchain for output 'DP-1'
[23:28:23.573] [DEBUG] [render/swapchain.c:103] Allocating new swapchain buffer
[23:28:23.573] [DEBUG] [render/allocator/gbm.c:118] Allocated 3440x1440 GBM buffer with format XR24 (0x34325258), modifier BLOCK_LINEAR_2D,HEIGHT=4,KIND=6,GEN=2,SECTOR=1,COMPRESSION=0 (0x0300000000606014)
[23:28:23.575] [DEBUG] [render/gles2/renderer.c:157] Created GL FBO for buffer 3440x1440
[23:28:23.577] [DEBUG] [types/output/render.c:123] Attaching empty buffer to output for modeset
[23:28:23.577] [INFO] [backend/drm/drm.c:962] connector DP-1: Modesetting with 3440x1440 @ 164.999 Hz
[23:28:23.685] [DEBUG] [backend/drm/drm.c:843] connector DP-1: Can't enable adaptive sync: connector doesn't support VRR
[23:28:23.733] [INFO] [src/output.c:2503] Low-latency cursor enabled for DP-1 (plane 56, crtc 62)
[23:28:23.733] [DEBUG] [render/allocator/gbm.c:118] Allocated 64x64 GBM buffer with format AR24 (0x34325241), modifier BLOCK_LINEAR_2D,HEIGHT=3,KIND=6,GEN=2,SECTOR=1,COMPRESSION=0 (0x0300000000606013)
[23:28:23.734] [INFO] [src/output.c:720] Monitor DP-1 gaming caps: vendor=NVIDIA overlay_planes=NO esync=YES vulkan_pref=YES lfc=none
[23:28:23.734] [INFO] [src/output.c:2353] Monitor DP-1 supports DRM_FORMAT_XBGR2101010 (10-bit)
[23:28:23.734] [INFO] [src/output.c:2730] Monitor DP-1: 10-bit=yes, HDR=no
[23:28:23.734] [INFO] [src/output.c:2770] Monitor DP-1: skipping auto 10-bit on Nvidia-primary GPU to avoid format issues
[23:28:23.735] [INFO] [src/statusbar.c:623] net icon: loaded /nix/store/zkhbdqqkxvv03xrgx21hg1r1z72v945p-nixlytile-git/bin/../share/nixlytile/images/svg/wifi_75.svg (resolved=/nix/store/zkhbdqqkxvv03xrgx21hg1r1z72v945p-nixlytile-git/bin/../share/nixlytile/images/svg/wifi_75.svg) w=26 h=26 target_h=26
[23:28:23.760] [DEBUG] [xcursor/wlr_xcursor.c:233] Loaded cursor theme 'default' at size 24 (145 available cursors)
[23:28:23.761] [DEBUG] [render/gles2/renderer.c:157] Created GL FBO for buffer 256x256
[23:28:23.761] [DEBUG] [render/swapchain.c:103] Allocating new swapchain buffer
[23:28:23.761] [DEBUG] [render/allocator/gbm.c:118] Allocated 256x256 GBM buffer with format AR24 (0x34325241), modifier INVALID (0x00FFFFFFFFFFFFFF)
[23:28:23.761] [DEBUG] [render/gles2/renderer.c:157] Created GL FBO for buffer 256x256
[23:28:23.761] [ERROR] [GLES2] GL_INVALID_OPERATION error generated. EGLImage not supported
[23:28:23.761] [ERROR] [render/gles2/renderer.c:114] Failed to create FBO
[23:28:23.761] [DEBUG] [types/output/cursor.c:321] Cursor render failed, trying source buffer directly (256x256)
[23:28:23.763] [INFO] [src/output.c:175] Restarting wallpaper: /home/total/.nixlyos/wallpapers/beach.jpg
[23:28:23.764] [INFO] [backend/drm/drm.c:1877] connector HDMI-A-1: Requesting modeset
[23:28:23.764] [INFO] [src/output.c:506] Using runtime config for monitor HDMI-A-1
[23:28:23.764] [INFO] [src/output.c:537] Set mode 1920x1080@60 for HDMI-A-1
[23:28:23.764] [DEBUG] [types/output/render.c:123] Attaching empty buffer to output for modeset
[23:28:23.764] [DEBUG] [types/output/swapchain.c:27] Choosing primary buffer format XR24 (0x34325258) for output 'HDMI-A-1'
[23:28:23.764] [DEBUG] [types/output/swapchain.c:96] Testing swapchain for output 'HDMI-A-1'
[23:28:23.764] [DEBUG] [render/swapchain.c:103] Allocating new swapchain buffer
[23:28:23.764] [DEBUG] [render/allocator/gbm.c:118] Allocated 1920x1080 GBM buffer with format XR24 (0x34325258), modifier BLOCK_LINEAR_2D,HEIGHT=4,KIND=6,GEN=2,SECTOR=1,COMPRESSION=0 (0x0300000000606014)
[23:28:23.765] [DEBUG] [render/gles2/renderer.c:157] Created GL FBO for buffer 1920x1080
[23:28:23.765] [DEBUG] [types/output/render.c:123] Attaching empty buffer to output for modeset
[23:28:23.765] [INFO] [backend/drm/drm.c:962] connector HDMI-A-1: Modesetting with 1920x1080 @ 60.000 Hz
[23:28:23.781] [DEBUG] [backend/drm/drm.c:843] connector HDMI-A-1: Can't enable adaptive sync: connector doesn't support VRR
[23:28:23.865] [INFO] [src/output.c:2503] Low-latency cursor enabled for HDMI-A-1 (plane 56, crtc 81)
[23:28:23.865] [DEBUG] [render/allocator/gbm.c:118] Allocated 64x64 GBM buffer with format AR24 (0x34325241), modifier BLOCK_LINEAR_2D,HEIGHT=3,KIND=6,GEN=2,SECTOR=1,COMPRESSION=0 (0x0300000000606013)
[23:28:23.865] [INFO] [src/output.c:720] Monitor HDMI-A-1 gaming caps: vendor=NVIDIA overlay_planes=NO esync=YES vulkan_pref=YES lfc=none
[23:28:23.865] [INFO] [src/output.c:2353] Monitor HDMI-A-1 supports DRM_FORMAT_XBGR2101010 (10-bit)
[23:28:23.865] [INFO] [src/output.c:2730] Monitor HDMI-A-1: 10-bit=yes, HDR=no
[23:28:23.865] [INFO] [src/output.c:2770] Monitor HDMI-A-1: skipping auto 10-bit on Nvidia-primary GPU to avoid format issues
[23:28:23.871] [DEBUG] [render/swapchain.c:103] Allocating new swapchain buffer
[23:28:23.871] [DEBUG] [render/allocator/gbm.c:118] Allocated 256x256 GBM buffer with format AR24 (0x34325241), modifier INVALID (0x00FFFFFFFFFFFFFF)
[23:28:23.871] [DEBUG] [render/gles2/renderer.c:157] Created GL FBO for buffer 256x256
[23:28:23.871] [ERROR] [GLES2] GL_INVALID_OPERATION error generated. EGLImage not supported
[23:28:23.871] [ERROR] [render/gles2/renderer.c:114] Failed to create FBO
[23:28:23.871] [DEBUG] [types/output/cursor.c:321] Cursor render failed, trying source buffer directly (256x256)
[23:28:23.877] [INFO] [src/output.c:175] Restarting wallpaper: /home/total/.nixlyos/wallpapers/beach.jpg
[23:28:23.878] [INFO] [backend/drm/drm.c:1877] connector DP-2: Requesting modeset
[23:28:23.879] [INFO] [src/output.c:506] Using runtime config for monitor DP-2
[23:28:23.879] [INFO] [src/output.c:537] Set mode 1920x1200@59 for DP-2
[23:28:23.879] [DEBUG] [types/output/render.c:123] Attaching empty buffer to output for modeset
[23:28:23.879] [DEBUG] [types/output/swapchain.c:27] Choosing primary buffer format XR24 (0x34325258) for output 'DP-2'
[23:28:23.879] [DEBUG] [types/output/swapchain.c:96] Testing swapchain for output 'DP-2'
[23:28:23.879] [DEBUG] [render/swapchain.c:103] Allocating new swapchain buffer
[23:28:23.879] [DEBUG] [render/allocator/gbm.c:118] Allocated 1920x1200 GBM buffer with format XR24 (0x34325258), modifier BLOCK_LINEAR_2D,HEIGHT=4,KIND=6,GEN=2,SECTOR=1,COMPRESSION=0 (0x0300000000606014)
[23:28:23.880] [DEBUG] [render/gles2/renderer.c:157] Created GL FBO for buffer 1920x1200
[23:28:23.880] [DEBUG] [types/output/render.c:123] Attaching empty buffer to output for modeset
[23:28:23.880] [INFO] [backend/drm/drm.c:962] connector DP-2: Modesetting with 1920x1200 @ 59.950 Hz
[23:28:23.893] [DEBUG] [backend/drm/drm.c:843] connector DP-2: Can't enable adaptive sync: connector doesn't support VRR
[23:28:23.912] [INFO] [src/output.c:2503] Low-latency cursor enabled for DP-2 (plane 56, crtc 100)
[23:28:23.912] [DEBUG] [render/allocator/gbm.c:118] Allocated 64x64 GBM buffer with format AR24 (0x34325241), modifier BLOCK_LINEAR_2D,HEIGHT=3,KIND=6,GEN=2,SECTOR=1,COMPRESSION=0 (0x0300000000606013)
[23:28:23.912] [INFO] [src/output.c:720] Monitor DP-2 gaming caps: vendor=NVIDIA overlay_planes=NO esync=YES vulkan_pref=YES lfc=none
[23:28:23.913] [INFO] [src/output.c:2353] Monitor DP-2 supports DRM_FORMAT_XBGR2101010 (10-bit)
[23:28:23.913] [INFO] [src/output.c:2730] Monitor DP-2: 10-bit=yes, HDR=no
[23:28:23.913] [INFO] [src/output.c:2770] Monitor DP-2: skipping auto 10-bit on Nvidia-primary GPU to avoid format issues
[23:28:23.928] [DEBUG] [render/swapchain.c:103] Allocating new swapchain buffer
[23:28:23.928] [DEBUG] [render/allocator/gbm.c:118] Allocated 256x256 GBM buffer with format AR24 (0x34325241), modifier INVALID (0x00FFFFFFFFFFFFFF)
[23:28:23.928] [DEBUG] [render/gles2/renderer.c:157] Created GL FBO for buffer 256x256
[23:28:23.928] [ERROR] [GLES2] GL_INVALID_OPERATION error generated. EGLImage not supported
[23:28:23.928] [ERROR] [render/gles2/renderer.c:114] Failed to create FBO
[23:28:23.928] [DEBUG] [types/output/cursor.c:321] Cursor render failed, trying source buffer directly (256x256)
[23:28:23.943] [INFO] [src/output.c:175] Restarting wallpaper: /home/total/.nixlyos/wallpapers/beach.jpg
[23:28:23.944] [INFO] [src/config.c:1175] Hot-reloading monitors.conf...
[23:28:23.944] [INFO] [src/config.c:1099] Loading monitors.conf from /home/total/.local/nixlyos/monitors.conf
[23:28:23.944] [INFO] [src/config.c:624] Monitor config: DP-2 at grid=2,0 (1920x1200@60.00 scale=1.00)
[23:28:23.944] [INFO] [src/config.c:624] Monitor config: HDMI-A-1 at grid=0,0 (1920x1080@60.00 scale=1.00)
[23:28:23.944] [INFO] [src/config.c:624] Monitor config: DP-1 at grid=1,0 (3440x1440@165.00 scale=1.00)
[23:28:23.944] [INFO] [src/config.c:1139] Loaded 3 monitor configs from monitors.conf
[23:28:23.944] [INFO] [backend/drm/drm.c:962] connector DP-2: Modesetting with 1920x1200 @ 59.950 Hz
[23:28:23.960] [INFO] [backend/drm/drm.c:962] connector HDMI-A-1: Modesetting with 1920x1080 @ 60.000 Hz
[23:28:23.964] [INFO] [backend/drm/drm.c:962] connector DP-1: Modesetting with 3440x1440 @ 164.999 Hz
[23:28:24.029] [INFO] [src/config.c:1357] monitors.conf reload complete
[23:28:24.032] [DEBUG] [render/swapchain.c:103] Allocating new swapchain buffer
[23:28:24.032] [DEBUG] [render/allocator/gbm.c:118] Allocated 1920x1200 GBM buffer with format XR24 (0x34325258), modifier BLOCK_LINEAR_2D,HEIGHT=4,KIND=6,GEN=2,SECTOR=1,COMPRESSION=0 (0x0300000000606014)
[23:28:24.032] [DEBUG] [render/gles2/renderer.c:157] Created GL FBO for buffer 1920x1200
[23:28:24.034] [DEBUG] [render/swapchain.c:103] Allocating new swapchain buffer
[23:28:24.034] [DEBUG] [render/allocator/gbm.c:118] Allocated 1920x1080 GBM buffer with format XR24 (0x34325258), modifier BLOCK_LINEAR_2D,HEIGHT=4,KIND=6,GEN=2,SECTOR=1,COMPRESSION=0 (0x0300000000606014)
[23:28:24.034] [DEBUG] [render/gles2/renderer.c:157] Created GL FBO for buffer 1920x1080
[23:28:24.035] [DEBUG] [render/swapchain.c:103] Allocating new swapchain buffer
[23:28:24.035] [DEBUG] [render/allocator/gbm.c:118] Allocated 3440x1440 GBM buffer with format XR24 (0x34325258), modifier BLOCK_LINEAR_2D,HEIGHT=4,KIND=6,GEN=2,SECTOR=1,COMPRESSION=0 (0x0300000000606014)
[23:28:24.035] [DEBUG] [render/gles2/renderer.c:157] Created GL FBO for buffer 3440x1440
[23:28:24.040] [DEBUG] [types/wlr_compositor.c:786] New wlr_surface 0x563764f73090 (res 0x563764f73460)
[23:28:24.040] [DEBUG] [types/wlr_layer_shell_v1.c:502] new layer_surface 0x563764d40240 (res 0x563764f73720)
[23:28:24.044] [DEBUG] [types/wlr_compositor.c:786] New wlr_surface 0x563764f30bf0 (res 0x563764f30fc0)
[23:28:24.044] [DEBUG] [types/wlr_layer_shell_v1.c:502] new layer_surface 0x563764dd4120 (res 0x563764f61a80)
[23:28:24.048] [DEBUG] [types/wlr_compositor.c:786] New wlr_surface 0x563764ed9bb0 (res 0x563764cb3e50)
[23:28:24.048] [DEBUG] [types/wlr_layer_shell_v1.c:502] new layer_surface 0x563764cf14e0 (res 0x563764cac950)
[23:28:24.085] [DEBUG] [types/wlr_compositor.c:786] New wlr_surface 0x563764f7a3e0 (res 0x563764f7a7b0)
[23:28:24.085] [DEBUG] [types/wlr_layer_shell_v1.c:502] new layer_surface 0x563764cf1cf0 (res 0x563764f6f030)
[23:28:24.090] [DEBUG] [types/wlr_compositor.c:786] New wlr_surface 0x563764f36cb0 (res 0x563764d321b0)
[23:28:24.090] [DEBUG] [types/wlr_layer_shell_v1.c:502] new layer_surface 0x563764f53560 (res 0x563764ed3ee0)
[23:28:24.094] [DEBUG] [types/wlr_compositor.c:786] New wlr_surface 0x563764f73dc0 (res 0x563764f74190)
[23:28:24.094] [DEBUG] [types/wlr_layer_shell_v1.c:502] new layer_surface 0x563764f3df80 (res 0x563764f30760)
[23:28:24.123] [DEBUG] [types/wlr_compositor.c:786] New wlr_surface 0x563764f546f0 (res 0x563764cb11a0)
[23:28:24.123] [DEBUG] [types/wlr_compositor.c:786] New wlr_surface 0x563764b9e0e0 (res 0x563764edcea0)
[23:28:24.178] [DEBUG] [types/wlr_compositor.c:786] New wlr_surface 0x563764f3b480 (res 0x563764f4a8f0)
[23:28:24.179] [DEBUG] [types/wlr_compositor.c:786] New wlr_surface 0x563764fa7710 (res 0x563764fa7ae0)
[23:28:24.203] [DEBUG] [types/wlr_compositor.c:786] New wlr_surface 0x563764fb3010 (res 0x563764fb33e0)
[23:28:24.203] [DEBUG] [types/wlr_layer_shell_v1.c:502] new layer_surface 0x563764f54d10 (res 0x563764fb2cb0)
[23:28:24.207] [DEBUG] [types/wlr_compositor.c:786] New wlr_surface 0x563764ed9010 (res 0x563764cb3f70)
[23:28:24.207] [DEBUG] [types/wlr_layer_shell_v1.c:502] new layer_surface 0x563764f6d0c0 (res 0x563764c50c60)
[23:28:24.211] [DEBUG] [types/wlr_compositor.c:786] New wlr_surface 0x563764cb4240 (res 0x563764ed3450)
[23:28:24.211] [DEBUG] [types/wlr_layer_shell_v1.c:502] new layer_surface 0x5637648e3ed0 (res 0x563764eda010)
[23:28:24.266] [DEBUG] [types/wlr_compositor.c:786] New wlr_surface 0x563764f38460 (res 0x563764dd1420)
[23:28:24.266] [DEBUG] [types/wlr_layer_shell_v1.c:502] new layer_surface 0x563764fae4e0 (res 0x563764ee32a0)
